,title,id,price,location,mileage,year,fuel_type,transmission,body type,color,doors,engine_size,co2_transmission,review_count,rating
179,Nissan Qashqai,1127602,"21,900",Bristol Street Motors Ford Birmingham,"8,223",2019,Petrol,Automatic,Hatchback,Blue,5,1.3 L,131 g/km,100,4.5
180,Ford Fiesta,1131513,"10,200",Bristol Street Motors Ford Birmingham,"30,781",2016,Petrol,Manual,Hatchback,White,3,1.0 L,99 g/km,373,4.0
181,Ford Fiesta,1128402,"11,350",Bristol Street Motors Ford Birmingham,"20,986",2019,Petrol,Manual,Hatchback,Race red (standard colour),5,1.1 L,114 g/km,373,4.0
182,Peugeot 208,1130376,"11,850",Bristol Street Motors Ford Birmingham,"16,201",2019,Petrol,Manual,Hatchback,Black,5,1.2 L,110 g/km,24,4.5
183,Vauxhall Astra,1129335,"11,950",Bristol Street Motors Ford Birmingham,"50,071",2019,Petrol,Manual,Estate,Black,5,1.4 L,125 g/km,368,4.0
184,Ford Fiesta,1127601,"13,150",Bristol Street Motors Ford Birmingham,"15,606",2019,Petrol,Manual,Hatchback,Blue,5,1.0 L,113 g/km,373,4.0
185,Peugeot 3008,1130484,"15,500",Bristol Street Motors Ford Birmingham,"55,924",2018,Diesel,Manual,Estate,Black,5,1.6 L,104 g/km,28,4.5
186,Ford Focus,1128401,"15,850",Bristol Street Motors Ford Birmingham,"45,648",2020,Petrol,Automatic,Hatchback,Grey,5,1.0 L,134 g/km,620,4.0
187,Jaguar XJ,1127247,"16,000",Bristol Street Motors Ford Birmingham,"39,139",2011,Diesel,Automatic,Saloon,Red,4,3.0 L,184 g/km,39,4.5
188,SEAT Ibiza,1129829,"16,350",Bristol Street Motors Ford Birmingham,"14,178",2020,Petrol,Manual,Hatchback,Red,5,1.0 L,107 g/km,47,4.0
